#Software: SHOUTcast
#Version: 2.5.5.733
#Fields: c-ip c-dns date time cs-uri-stem c-status cs(User-Agent) sc-bytes x-duration avgbandwidth
5.39.220.78 5.39.220.78 2022-11-09 16:19:15 /stream?title=Unknown 200  0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:22 /stream?title=Unknown 200 curl%2F7.54.0 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:22 /stream?title=Unknown 200 Mozilla%2F4.0%20%28compatible%3B%20MSIE%206.0%3B%20Windows%20NT%205.1%29 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:22 /stream?title=Unknown 200 curl%2F7.54.0 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:22 /stream?title=Unknown 200 curl%2F7.54.0 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:22 /stream?title=Unknown 200 Mozilla%2F4.0%20%28compatible%3B%20MSIE%206.0%3B%20Windows%20NT%205.1%29 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:22 /stream?title=Unknown 200 curl%2F7.54.0 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:23 /stream?title=Unknown 200 curl%2F7.54.0 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:23 /stream?title=Unknown 200 curl%2F7.54.0 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:23 /stream?title=Unknown 200 curl%2F7.54.0 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:23 /stream?title=Unknown 200 curl%2F7.54.0 0 0 0
5.39.220.78 5.39.220.78 2022-11-09 16:19:29 /stream?title=Unknown 200 Guayoyo%20-%20Mozilla%2F5.0%20%28compatible%3B%20vCenter%29 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:10 /stream?title=Unknown 200  0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:10 /stream?title=Unknown 200 l9tcpid%2Fv1.1.0 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:10 /stream?title=Unknown 200 Lkx-Apache2449TraversalPlugin%2F0.0.1%20%28%2Bhttps%3A%2F%2Fleakix.net%2F%2C%20%2Bhttps%3A%2F%2Ftwitter.com%2FHaboubiAnis%29 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:11 /stream?title=Unknown 200 Go-http-client%2F1.1 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:11 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:11 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:11 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:11 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:12 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:12 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:12 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:12 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:12 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:13 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
212.102.41.44 212.102.41.44 2022-11-10 03:03:13 /stream?title=Unknown 200 l9explore%2F1.2.2 0 0 0
114.206.213.232 114.206.213.232 2022-11-10 03:12:31 /stream?title=Unknown 200 Go-http-client%2F1.1 0 0 0
147.182.216.145 147.182.216.145 2022-11-10 07:39:46 /stream?title=Unknown 200  0 0 0
147.182.216.145 147.182.216.145 2022-11-10 07:39:46 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F74.0.3729.169%20Safari%2F537.36 0 0 0
